iter	Passed	Remaining
978	58514	1255
979	58567	1195
980	58621	1135
981	58675	1075
982	58729	1015
983	58783	955
984	58836	895
985	58889	836
986	58942	776
987	58995	716
988	59048	656
989	59101	596
990	59161	537
991	59230	477
992	59301	418
993	59365	358
994	59427	298
995	59487	238
996	59550	179
997	59612	119
998	59674	59
999	59740	0
